FPR SUN,FPR Places,FPR DTD,FPR iNaturalist,AUC SUN,AUC Places,AUC DTD,AUC iNaturalist,Combination,Average FPR,Average AUC
0.3862,0.4954,0.3239361702127659,0.0756,0.911922741,0.8813773469999999,0.9293626684397164,0.984197021,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.32028404255319143,0.9267149443599291
0.3742,0.4943,0.3195035460992907,0.0851,0.91858486,0.8851881069999998,0.9297676010638298,0.982331014,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",0.3182758865248227,0.9289678955159574
0.4002,0.5061,0.3349290780141844,0.0892,0.909121421,0.878386084,0.9271017446808512,0.981758061,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",0.3326072695035461,0.9240918276702128
0.378,0.4764,0.3475177304964539,0.0738,0.913632018,0.8853072919999999,0.9227103457446808,0.984252324,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",0.3189294326241135,0.9264754949361702
0.382,0.489,0.3476950354609929,0.0745,0.912260999,0.882427173,0.9235865531914892,0.984313039,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",0.3232987588652482,0.9256469410478723
0.3623,0.4638,0.3304964539007092,0.0788,0.918296166,0.889350905,0.928688535460993,0.983417625,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",0.3088491134751773,0.9299383078652482
0.3666,0.4769,0.3523049645390071,0.0837,0.92039271,0.8890171360000001,0.9220364148936172,0.982171083,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11]",0.31987624113475177,0.9284043359734043
0.4025,0.5169,0.3397163120567376,0.0859,0.90722324,0.873561577,0.9258190088652484,0.982475924,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",0.3362540780141844,0.9222699374663121
0.3603,0.4571,0.3283687943262411,0.0817,0.917629478,0.8914186809999999,0.9281448351063828,0.983060668,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",0.3068671985815603,0.9300634155265957
0.3763,0.4913,0.3524822695035461,0.0855,0.918660513,0.885602287,0.9226515780141844,0.982075016,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11]",0.32639556737588654,0.9272473485035461
0.3975,0.5116,0.3407801418439716,0.105,0.912867455,0.878979831,0.92479570035461,0.978352877,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]",0.3387200354609929,0.9237489658386524
0.3469,0.4591,0.3234042553191489,0.0907,0.925424309,0.8936149299999999,0.9288528829787236,0.981223788,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 11]",0.30502606382978725,0.9322789774946808
0.3642,0.4646,0.324468085106383,0.0784,0.917047278,0.889872804,0.9290677464539008,0.983743624,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",0.30791702127659576,0.9299328631134752
0.3449,0.453,0.3232269503546099,0.0906,0.924895349,0.896083202,0.9283971985815602,0.9808391,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 11]",0.3029317375886525,0.93255371239539
0.367,0.4693,0.3230496453900709,0.0771,0.917417688,0.8891697620000001,0.9307622127659572,0.9841406120000002,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.3091124113475177,0.9303725686914894
0.3958,0.5227,0.3421985815602837,0.0983,0.912928116,0.875656491,0.9250346453900709,0.979773991,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]",0.33974964539007096,0.9233483108475178
0.3488,0.4581,0.3164893617021276,0.0859,0.924317196,0.894618795,0.9296031631205676,0.981733659,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11]",0.3023223404255319,0.9325682032801419
0.3788,0.4869,0.3228723404255319,0.0752,0.91439549,0.884378155,0.9300196081560284,0.984126907,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.31594308510638297,0.9282300400390071
0.3791,0.4881,0.326595744680851,0.0755,0.914092971,0.8839755499999999,0.9292352943262412,0.984193948,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.3173239361702127,0.9278744408315603
0.3471,0.4619,0.3131205673758865,0.0839,0.924695488,0.89389625,0.9314671382978724,0.982275475,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 11]",0.30150514184397165,0.9330835878244681
0.3598,0.4784,0.3140070921985816,0.0833,0.921336448,0.888537605,0.9305631914893616,0.982259595,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 11]",0.3088767730496454,0.9306742098723404
0.3615,0.4824,0.3195035460992907,0.084,0.921003581,0.888109279,0.9296945567375888,0.982342218,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",0.3118508865248227,0.9302874086843972
